,verse
0,"  Tell me, O Sanjaya, what my sons and Pandu's assembled, on battle intent, did on the field of Kuru, the field of duty. Sanjaya Said:   "
1,"  On seeing the Arjuna's army drawn up in battle array, King Duryodhana approached Drona, the preceptor, and addressed him thus:   "
2,"  Behold, O preceptor, this mighty army of the sons of Pandu, set in array by the son of Drupada, your wise disciple.   "
3,"  Here are brave bowmen, peers of Bhima and Arjuna in fighting: Yuyudhana and Virata, and the ‘Maharatha' Drupada.   "
4,"  Dhrishtaketu, Chekitana, valorous Kashiraja, Purujit the Kuntibhoja, and Shaibya, chief among men;   "
5,"  Valiant Yudhamanyu, valorous Uttamaujas, Subhadra's son, and the sons of Draupadi--each one of them a 'Maharatha'.   "
6,"  Acquaint yourself now, O best of Brahmanas, with the distinguished among us. I mention for your information, the names of the captains of my army.   "
7,"  Your noble self, Bhishma, Karna, and Kripa, victorious in battle, Ashvatthaman, Vikarna, also Somadatta's son;   "
8,"  There is many another hero, known for his skill in wielding diverse weapons, pledged to lay down his life for my sake, and all adepts in war.   "
9,"  This our force, commanded by Bhishma, is all too inadequate; while theirs, commanded by Bhima, is quite adequate.   "
10,"  Therefore, let each of you, holding your appointed places, at every entrance, guard only Bhishma.   "
11,"  At this, the heroic grandsire, the grand old man of the Kurus, gave a loud lion's roar and blew his conch to hearten Duryodhana.   "
12,"  Thereupon, conches, drums, cymbals and trumpets were sounded all at once. Terrific was the noise.   "
13,"  Then Krishna and Arjuna, standing in their great chariot yoked with white steeds, blew their divine conches.   "
14,  Krishna blew the Panchajanya and Arjuna the Devadatta; while the wolf-bellied Bhima of dread deeds sounded his great conch Paundra.    
15,"  King Yudhishthira, Kunti's son, blew the Anantavijaya, and Nakula and Sahadeva their conches, Sughosha and Manipushpaka.   "
16,"  And Kashiraja, the great bowman, Shikhandi Dhrishtadyumna, Virata and Satyaki, the unconquerable; the 'Maharatha',    "
17,"  Drupada, Draupadi's sons, the strong-armed son of Subhadra, all these, O King, blew each his own conch.   "
