,Keyword,Score,Chapter,Author
0,arjuna,7.560399999999999,1,Mahatma Gandhi
1,battle,5.3656,1,Mahatma Gandhi
2,bhima,4.090800000000001,1,Mahatma Gandhi
3,bowmen,3.906,1,Mahatma Gandhi
4,sons,3.7508,1,Mahatma Gandhi
5,subhadra,3.6495999999999995,1,Mahatma Gandhi
6,chariot,3.6308,1,Mahatma Gandhi
7,pandu,3.2316000000000003,1,Mahatma Gandhi
8,trumpets,3.1456,1,Mahatma Gandhi
9,kuru,2.962,1,Mahatma Gandhi
0,arjuna,11.1935,2,Mahatma Gandhi
1,krishna,7.744999999999999,2,Mahatma Gandhi
2,anguish,7.543,2,Mahatma Gandhi
3,reverence,7.2795000000000005,2,Mahatma Gandhi
4,arise,6.908500000000001,2,Mahatma Gandhi
5,slain,5.970499999999998,2,Mahatma Gandhi
6,battle,5.632000000000002,2,Mahatma Gandhi
7,overcome,5.099,2,Mahatma Gandhi
8,discerns,5.0155,2,Mahatma Gandhi
9,shall,4.4565,2,Mahatma Gandhi
0,arjuna,3.7235999999999994,3,Mahatma Gandhi
1,sacrifice,3.498,3,Mahatma Gandhi
2,krishna,3.1481999999999997,3,Mahatma Gandhi
3,renunciation,3.0195,3,Mahatma Gandhi
4,inaction,2.7417,3,Mahatma Gandhi
5,sinless,2.553,3,Mahatma Gandhi
6,yoga,2.4638999999999998,3,Mahatma Gandhi
7,detachment,2.4069,3,Mahatma Gandhi
8,compelled,2.3303999999999996,3,Mahatma Gandhi
9,pervading,2.1548999999999996,3,Mahatma Gandhi
0,arjuna,3.6144,4,Mahatma Gandhi
1,yoga,3.4116000000000004,4,Mahatma Gandhi
2,wrath,2.3358,4,Mahatma Gandhi
3,sages,2.0544,4,Mahatma Gandhi
4,devotee,1.9836,4,Mahatma Gandhi
5,essence,1.9749,4,Mahatma Gandhi
6,changeless,1.8719999999999999,4,Mahatma Gandhi
7,succession,1.7547000000000001,4,Mahatma Gandhi
8,learnt,1.5996000000000001,4,Mahatma Gandhi
9,varnas,1.4742,4,Mahatma Gandhi
0,renunciation,1.6440000000000001,5,Mahatma Gandhi
1,yoga,1.5892,5,Mahatma Gandhi
2,soul,1.1667999999999998,5,Mahatma Gandhi
3,sankhyas,1.1596,5,Mahatma Gandhi
4,virtue,1.0932,5,Mahatma Gandhi
5,actions,1.0486,5,Mahatma Gandhi
6,peace,0.9384,5,Mahatma Gandhi
7,karmayoga,0.9312,5,Mahatma Gandhi
8,attain,0.7922,5,Mahatma Gandhi
9,ascetic,0.7436,5,Mahatma Gandhi
0,yoga,8.9948,6,Mahatma Gandhi
1,yogi,7.4432,6,Mahatma Gandhi
2,arjuna,5.099600000000001,6,Mahatma Gandhi
3,oneself,4.2943999999999996,6,Mahatma Gandhi
4,contentment,4.0548,6,Mahatma Gandhi
5,nirvana,3.874799999999999,6,Mahatma Gandhi
6,purification,3.6999999999999997,6,Mahatma Gandhi
7,spirit,3.25,6,Mahatma Gandhi
8,motionless,3.2415999999999996,6,Mahatma Gandhi
9,sannyasin,3.2391999999999994,6,Mahatma Gandhi
0,arjuna,2.0614,7,Mahatma Gandhi
1,vedas,1.8322,7,Mahatma Gandhi
2,transcending,1.6166,7,Mahatma Gandhi
3,yoga,1.2136,7,Mahatma Gandhi
4,jiva,1.1968,7,Mahatma Gandhi
5,essence,0.9978,7,Mahatma Gandhi
6,evil,0.904,7,Mahatma Gandhi
7,universe,0.8826,7,Mahatma Gandhi
8,manliness,0.8432,7,Mahatma Gandhi
9,mystery,0.8028,7,Mahatma Gandhi
0,brahman,1.77,8,Mahatma Gandhi
1,arjuna,1.4644,8,Mahatma Gandhi
2,vedas,1.3607999999999998,8,Mahatma Gandhi
3,adhyatma,1.34,8,Mahatma Gandhi
4,devotion,1.2072,8,Mahatma Gandhi
5,death,1.0964,8,Mahatma Gandhi
6,embodied,0.9037999999999999,8,Mahatma Gandhi
7,abode,0.8712,8,Mahatma Gandhi
8,yogi,0.829,8,Mahatma Gandhi
9,departs,0.802,8,Mahatma Gandhi
0,arjuna,4.416,9,Mahatma Gandhi
1,dharma,3.5042999999999997,9,Mahatma Gandhi
2,transcendent,2.8545,9,Mahatma Gandhi
3,prakriti,2.7348,9,Mahatma Gandhi
4,doctrine,2.6622,9,Mahatma Gandhi
5,souls,2.6481000000000003,9,Mahatma Gandhi
6,homage,2.4732000000000003,9,Mahatma Gandhi
7,multitude,2.2226999999999997,9,Mahatma Gandhi
8,condemn,2.1483,9,Mahatma Gandhi
9,lord,2.0601000000000003,9,Mahatma Gandhi
0,arjuna,4.492500000000001,10,Mahatma Gandhi
1,brahman,3.6279,10,Mahatma Gandhi
2,devotion,3.1137000000000006,10,Mahatma Gandhi
3,gods,2.9400000000000004,10,Mahatma Gandhi
4,beings,2.6238,10,Mahatma Gandhi
5,discernment,2.3415,10,Mahatma Gandhi
6,yoga,2.0879999999999996,10,Mahatma Gandhi
7,everlasting,1.9611000000000003,10,Mahatma Gandhi
8,contentment,1.8795000000000002,10,Mahatma Gandhi
9,inward,1.5669000000000002,10,Mahatma Gandhi
0,arjuna,8.3016,11,Mahatma Gandhi
1,krishna,6.6972,11,Mahatma Gandhi
2,gods,4.147200000000001,11,Mahatma Gandhi
3,behold,4.1015999999999995,11,Mahatma Gandhi
4,universe,3.9292,11,Mahatma Gandhi
5,multitudes,3.5020000000000002,11,Mahatma Gandhi
6,vasus,3.2308000000000003,11,Mahatma Gandhi
7,yoga,2.794,11,Mahatma Gandhi
8,vestments,2.7051999999999996,11,Mahatma Gandhi
9,imperishable,2.6524000000000005,11,Mahatma Gandhi
0,devotion,2.165,12,Mahatma Gandhi
1,arjuna,1.5422,12,Mahatma Gandhi
2,omnipresent,1.2004,12,Mahatma Gandhi
3,yoga,1.1658,12,Mahatma Gandhi
4,mortals,1.0076,12,Mahatma Gandhi
5,embodied,0.9802,12,Mahatma Gandhi
6,lord,0.9316,12,Mahatma Gandhi
7,unchanging,0.9286,12,Mahatma Gandhi
8,attain,0.8692,12,Mahatma Gandhi
9,steadily,0.726,12,Mahatma Gandhi
0,brahman,3.9759,13,Mahatma Gandhi
1,consciousness,3.6492000000000004,13,Mahatma Gandhi
2,devotion,3.4422,13,Mahatma Gandhi
3,arjuna,3.2946000000000004,13,Mahatma Gandhi
4,uprightness,2.3832,13,Mahatma Gandhi
5,body,1.8627000000000002,13,Mahatma Gandhi
6,aphoristic,1.8477000000000001,13,Mahatma Gandhi
7,aversion,1.8369,13,Mahatma Gandhi
